method_family,method_name,n_assets,seed,initial_wealth,target_wealth,train_time_sec,solve_time_sec,required_return_pct,target_hit_rate,mean_terminal_wealth,median_terminal_wealth,terminal_wealth_p05,expected_shortfall,mean_gross_leverage,max_gross_leverage,mean_concentration,mean_turnover,max_single_weight,wealth_volatility,max_drawdown,eval_time_sec,n_forward_windows,fold,evaluation_set
baseline,baseline_cash,1,1,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.918181206024078,0.918181206024078,0.918181206024078,0.0818187939759219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003944188356399,1,fold_2014_2017,validation
baseline,baseline_cash,1,2,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.918181206024078,0.918181206024078,0.918181206024078,0.0818187939759219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004141107201576,1,fold_2014_2017,validation
baseline,baseline_cash,1,3,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.918181206024078,0.918181206024078,0.918181206024078,0.0818187939759219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004318952560424,1,fold_2014_2017,validation
baseline,baseline_cash,1,4,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.918181206024078,0.918181206024078,0.918181206024078,0.0818187939759219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008165463805198,1,fold_2014_2017,validation
baseline,baseline_cash,1,5,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.918181206024078,0.918181206024078,0.918181206024078,0.0818187939759219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010059028863906,1,fold_2014_2017,validation
baseline,baseline_cash,1,1,0.95,1.0,-1.0,0.0,5.263157894736836,0.0,0.9691912730254152,0.9691912730254152,0.9691912730254152,0.0308087269745847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003402382135391,1,fold_2014_2017,validation
baseline,baseline_cash,1,2,0.95,1.0,-1.0,0.0,5.263157894736836,0.0,0.9691912730254152,0.9691912730254152,0.9691912730254152,0.0308087269745847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007786154747009,1,fold_2014_2017,validation
baseline,baseline_cash,1,3,0.95,1.0,-1.0,0.0,5.263157894736836,0.0,0.9691912730254152,0.9691912730254152,0.9691912730254152,0.0308087269745847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003697834908962,1,fold_2014_2017,validation
baseline,baseline_cash,1,4,0.95,1.0,-1.0,0.0,5.263157894736836,0.0,0.9691912730254152,0.9691912730254152,0.9691912730254152,0.0308087269745847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009199157357215,1,fold_2014_2017,validation
baseline,baseline_cash,1,5,0.95,1.0,-1.0,0.0,5.263157894736836,0.0,0.9691912730254152,0.9691912730254152,0.9691912730254152,0.0308087269745847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007790178060531,1,fold_2014_2017,validation
baseline,baseline_cash,20,1,0.8,1.0,-1.0,0.0,25.0,0.0,0.8161610720214024,0.8161610720214024,0.8161610720214024,0.1838389279785975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004078298807144,1,fold_2014_2017,validation
baseline,baseline_cash,20,2,0.8,1.0,-1.0,0.0,25.0,0.0,0.8161610720214024,0.8161610720214024,0.8161610720214024,0.1838389279785975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009105652570724,1,fold_2014_2017,validation
baseline,baseline_cash,20,3,0.8,1.0,-1.0,0.0,25.0,0.0,0.8161610720214024,0.8161610720214024,0.8161610720214024,0.1838389279785975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010027922689914,1,fold_2014_2017,validation
baseline,baseline_cash,20,4,0.8,1.0,-1.0,0.0,25.0,0.0,0.8161610720214024,0.8161610720214024,0.8161610720214024,0.1838389279785975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000391062349081,1,fold_2014_2017,validation
baseline,baseline_cash,20,5,0.8,1.0,-1.0,0.0,25.0,0.0,0.8161610720214024,0.8161610720214024,0.8161610720214024,0.1838389279785975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005658641457557,1,fold_2014_2017,validation
baseline,baseline_cash,20,1,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.918181206024078,0.918181206024078,0.918181206024078,0.0818187939759219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003830455243587,1,fold_2014_2017,validation
baseline,baseline_cash,20,2,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.918181206024078,0.918181206024078,0.918181206024078,0.0818187939759219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003849975764751,1,fold_2014_2017,validation
baseline,baseline_cash,20,3,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.918181206024078,0.918181206024078,0.918181206024078,0.0818187939759219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003744587302207,1,fold_2014_2017,validation
baseline,baseline_cash,20,4,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.918181206024078,0.918181206024078,0.918181206024078,0.0818187939759219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006740354001522,1,fold_2014_2017,validation
baseline,baseline_cash,20,5,0.9,1.0,-1.0,0.0,11.111111111111116,0.0,0.918181206024078,0.918181206024078,0.918181206024078,0.0818187939759219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004337765276432,1,fold_2014_2017,validation
baseline,baseline_cash,20,1,0.95,1.0,-1.0,0.0,5.263157894736836,0.0,0.9691912730254152,0.9691912730254152,0.9691912730254152,0.0308087269745847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003842040896415,1,fold_2014_2017,validation
baseline,baseline_cash,20,2,0.95,1.0,-1.0,0.0,5.263157894736836,0.0,0.9691912730254152,0.9691912730254152,0.9691912730254152,0.0308087269745847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006904639303684,1,fold_2014_2017,validation
baseline,baseline_cash,20,3,0.95,1.0,-1.0,0.0,5.263157894736836,0.0,0.9691912730254152,0.9691912730254152,0.9691912730254152,0.0308087269745847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006917752325534,1,fold_2014_2017,validation
baseline,baseline_cash,20,4,0.95,1.0,-1.0,0.0,5.263157894736836,0.0,0.9691912730254152,0.9691912730254152,0.9691912730254152,0.0308087269745847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009479597210884,1,fold_2014_2017,validation
baseline,baseline_cash,20,5,0.95,1.0,-1.0,0.0,5.263157894736836,0.0,0.9691912730254152,0.9691912730254152,0.9691912730254152,0.0308087269745847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003941617906093,1,fold_2014_2017,validation
baseline,baseline_cash,5,1,0.8,1.0,-1.0,0.0,25.0,0.0,0.8161610720214024,0.8161610720214024,0.8161610720214024,0.1838389279785975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004158169031143,1,fold_2014_2017,validation
baseline,baseline_cash,5,2,0.8,1.0,-1.0,0.0,25.0,0.0,0.8161610720214024,0.8161610720214024,0.8161610720214024,0.1838389279785975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004303865134716,1,fold_2014_2017,validation
baseline,baseline_cash,5,3,0.8,1.0,-1.0,0.0,25.0,0.0,0.8161610720214024,0.8161610720214024,0.8161610720214024,0.1838389279785975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008613318204879,1,fold_2014_2017,validation
baseline,baseline_cash,5,4,0.8,1.0,-1.0,0.0,25.0,0.0,0.8161610720214024,0.8161610720214024,0.8161610720214024,0.1838389279785975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010014548897743,1,fold_2014_2017,validation
baseline,baseline_cash,5,5,0.8,1.0,-1.0,0.0,25.0,0.0,0.8161610720214024,0.8161610720214024,0.8161610720214024,0.1838389279785975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008878223598003,1,fold_2014_2017,validation
