evaluation_set,method_family,method_name,n_assets,initial_wealth,metric,n,mean,std,sem,ci95_half_width
test,nn,nn_bsde,10,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_bsde,20,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_bsde,20,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_bsde,20,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_deep,1,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_deep,1,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_deep,1,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_deep,5,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_deep,5,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_deep,5,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_deep,10,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_deep,10,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_deep,10,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_deep,20,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_deep,20,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_deep,20,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_shared,1,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_shared,1,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_shared,1,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_shared,5,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_shared,5,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_shared,5,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_shared,10,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_shared,10,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_shared,10,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_shared,20,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_shared,20,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_mlp_shared,20,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_pinn,1,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_pinn,1,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_pinn,1,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_pinn,5,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_pinn,5,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_pinn,5,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_pinn,10,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_pinn,10,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_pinn,10,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_pinn,20,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_pinn,20,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_pinn,20,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_recurrent,1,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_recurrent,1,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_recurrent,1,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_recurrent,5,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_recurrent,5,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_recurrent,5,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_recurrent,10,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_recurrent,10,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_recurrent,10,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_recurrent,20,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_recurrent,20,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_recurrent,20,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_transformer,1,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_transformer,1,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_transformer,1,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_transformer,5,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_transformer,5,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_transformer,5,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_transformer,10,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_transformer,10,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_transformer,10,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_transformer,20,0.8,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_transformer,20,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
test,nn,nn_transformer,20,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
validation,baseline,baseline_cash,1,0.8,target_hit_rate,15,0.0,0.0,0.0,0.0
validation,baseline,baseline_cash,1,0.9,target_hit_rate,15,0.0,0.0,0.0,0.0
validation,baseline,baseline_cash,1,0.95,target_hit_rate,15,0.0,0.0,0.0,0.0
validation,baseline,baseline_cash,5,0.8,target_hit_rate,15,0.0,0.0,0.0,0.0
validation,baseline,baseline_cash,5,0.9,target_hit_rate,15,0.0,0.0,0.0,0.0
validation,baseline,baseline_cash,5,0.95,target_hit_rate,15,0.0,0.0,0.0,0.0
validation,baseline,baseline_cash,10,0.8,target_hit_rate,15,0.0,0.0,0.0,0.0
validation,baseline,baseline_cash,10,0.9,target_hit_rate,15,0.0,0.0,0.0,0.0
validation,baseline,baseline_cash,10,0.95,target_hit_rate,15,0.0,0.0,0.0,0.0
validation,baseline,baseline_cash,20,0.8,target_hit_rate,15,0.0,0.0,0.0,0.0
validation,baseline,baseline_cash,20,0.9,target_hit_rate,15,0.0,0.0,0.0,0.0
validation,baseline,baseline_cash,20,0.95,target_hit_rate,15,0.0,0.0,0.0,0.0
validation,baseline,baseline_equal_weight,1,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,baseline,baseline_equal_weight,1,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,baseline,baseline_equal_weight,1,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,baseline,baseline_equal_weight,5,0.8,target_hit_rate,15,0.0,0.0,0.0,0.0
validation,baseline,baseline_equal_weight,5,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,baseline,baseline_equal_weight,5,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
validation,baseline,baseline_equal_weight,10,0.8,target_hit_rate,15,0.0,0.0,0.0,0.0
validation,baseline,baseline_equal_weight,10,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,baseline,baseline_equal_weight,10,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,baseline,baseline_equal_weight,20,0.8,target_hit_rate,15,0.0,0.0,0.0,0.0
validation,baseline,baseline_equal_weight,20,0.9,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,baseline,baseline_equal_weight,20,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,baseline,baseline_mean_variance,1,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,baseline,baseline_mean_variance,1,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,baseline,baseline_mean_variance,1,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,baseline,baseline_mean_variance,5,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,baseline,baseline_mean_variance,5,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,baseline,baseline_mean_variance,5,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,baseline,baseline_mean_variance,10,0.8,target_hit_rate,15,0.0,0.0,0.0,0.0
validation,baseline,baseline_mean_variance,10,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,baseline,baseline_mean_variance,10,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,baseline,baseline_mean_variance,20,0.8,target_hit_rate,15,0.0,0.0,0.0,0.0
validation,baseline,baseline_mean_variance,20,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,baseline,baseline_mean_variance,20,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,fd,fd_hjb_viscosity,1,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,fd,fd_hjb_viscosity,1,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,fd,fd_hjb_viscosity,1,0.95,target_hit_rate,15,1.0,0.0,0.0,0.0
validation,fd,fd_hjb_viscosity,5,0.8,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,fd,fd_hjb_viscosity,5,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,fd,fd_hjb_viscosity,5,0.95,target_hit_rate,15,0.8,0.4140393356054125,0.10690449676496974,0.20953281365934068
validation,fd,fd_hjb_viscosity,10,0.8,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,fd,fd_hjb_viscosity,10,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,fd,fd_hjb_viscosity,10,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,fd,fd_hjb_viscosity,20,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,fd,fd_hjb_viscosity,20,0.9,target_hit_rate,15,1.0,0.0,0.0,0.0
validation,fd,fd_hjb_viscosity,20,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_bsde,1,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_bsde,1,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_bsde,1,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_bsde,5,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_bsde,5,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_bsde,5,0.95,target_hit_rate,15,0.8,0.4140393356054125,0.10690449676496974,0.20953281365934068
validation,nn,nn_bsde,10,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_bsde,10,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_bsde,10,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_bsde,20,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_bsde,20,0.9,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_bsde,20,0.95,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_deep,1,0.8,target_hit_rate,15,0.3333333333333333,0.4879500364742666,0.12598815766974242,0.24693678903269514
validation,nn,nn_mlp_deep,1,0.9,target_hit_rate,15,0.6666666666666666,0.4879500364742666,0.12598815766974242,0.24693678903269514
